Constituency Ainm,Year,Full Name,
Tipperary,2016,Siobhán Ambrose,F
Dublin Bay South,2016,Chris Andrews,M
Dublin South-Central,2016,Catherine Ardagh,F
Carlow-Kilkenny,2016,Bobby Aylward,M
Dún Laoghaire,2016,Maria Bailey,F
Longford-Westmeath,2016,James Bannon,M
Cork North-Central,2016,Mick Barry,M
Cork  East,2016,Tom Barry,M
Wicklow,2016,Joe Behan,M
Kildare North,2016,Michael Beirne,M
Limerick City,2016,Nora Bennis,F
Cork South-Central,2016,Lorna Bogue,F
Meath East,2016,Joseph Bonner,M
Offaly,2016,Kate Bopp,F
Dún Laoghaire,2016,Richard Boyd Barrett,M
Cork  East,2016,Paul Bradford,M
Louth,2016,David Bradley,M
Dublin South-Central,2016,Neville Bradley,M
Wicklow,2016,John Brady,M
Kerry,2016,John Brassil,M
Louth,2016,Declan Breathnach,M
Sligo-Leitrim,2016,Declan Bree,M
Clare,2016,Pat Breen,M
Wicklow,2016,Sharon Briggs,F
Dublin South-West,2016,Colm Brophy,M
Dublin Bay North,2016,Tommy Broughan,M
Wexford,2016,James Browne,M
Limerick County,2016,Seamus Browne,M
Dublin Bay North,2016,Richard Bruton,M
Cork  East,2016,Pat Buckley,M
Cork  East,2016,Paddy Bullman,M
Dublin Central,2016,Christy Burke,M
Dublin South-West,2016,Declan Burke,M
Longford-Westmeath,2016,Peter Burke,M
Dublin West,2016,Joan Burton,F
Waterford,2016,Mary Butler,F
Meath West,2016,Ray Butler,M
Cork South-Central,2016,Jerry Buttimer,M
Wexford,2016,Aoife Byrne,F
Dublin South-Central,2016,Catherine Byrne,F
Dublin South-Central,2016,Eric Byrne,M
Wexford,2016,Malcolm Byrne,M
Meath East,2016,Thomas Byrne,M
Tipperary,2016,Jackie Cahill,M
Clare,2016,Richard Cahill,M
Cavan-Monaghan,2016,Micheal Callaghan,M
Louth,2016,Kevin Callan,M
Mayo,2016,Dara Calleary,M
Galway East,2016,Seán Canney,M
Galway East,2016,Ciaran Cannon,M
Cork  East,2016,Ross Cannon,M
Clare,2016,Joe Carey,M
Dublin North-West,2016,Cathleen Carney Boud,F
Wexford,2016,Ger Carthy,M
Dublin West,2016,Dermot Casey,M
Wicklow,2016,Pat Casey,M
Meath West,2016,Shane Cassells,M
Sligo-Leitrim,2016,Marie Casserly,F
Dublin West,2016,Jack Chambers,M
Mayo,2016,Lisa Chambers,F
Galway West,2016,James Charity,M
Dublin West,2016,Tj Clare,M
Dublin Bay North,2016,Paul Clarke,M
Dublin Fingal,2016,Lorraine Clifford-Lee,F
Galway West,2016,Trevor Ó Clochartaigh,M
Louth,2016,Emma Coffey,F
Waterford,2016,Paudie Coffey,M
Cork South-West,2016,Alan Coleman,M
Roscommon-Galway,2016,Tony Coleman,M
Clare,2016,Clare Colleran-Molloy,F
Cork North-West,2016,Áine Collins Collins,F
Dublin South-Central,2016,Joan Collins,F
Cork South-West,2016,Michael Collins,M
Limerick County,2016,Niall Collins,M
Cavan-Monaghan,2016,Sean Conlan,M
Galway East,2016,Paul Connaughton,M
Laois,2016,Thomasina Connell,F
Galway West,2016,Catherine Martina Ann Connolly,F
Galway West,2016,John Connolly,M
Louth,2016,Anthony Connor,M
Dublin North-West,2016,Caroline Conroy,F
Roscommon-Galway,2016,Eddie Conroy,M
Waterford,2016,Ciara Conway,F
Mayo,2016,Rose Conway-Walsh,F
Tipperary,2016,Noel Coonan,M
Dublin Bay North,2016,Donna Cooney,F
Dublin West,2016,Ruth Coppinger,F
Kerry,2016,Donal Corcoran,M
Offaly,2016,Marcella Corcoran Kennedy,F
Dublin Central,2016,Joe Costello,M
Cork South-Central,2016,Simon Coveney,M
Offaly,2016,Barry Cowen,M
Mayo,2016,Jerry Cowley,M
Dublin South-Central,2016,Liam Coyne,M
Cork North-West,2016,Michael Creed,M
Dublin Bay South,2016,Lucinda Creighton,F
Wicklow,2016,Avril Cronin,F
Dún Laoghaire,2016,Frank Cronin,M
Kildare North,2016,Réada Cronin,F
Kildare South,2016,Declan Crowe,M
Dublin South-West,2016,Seán Crowe,M
